;;;;;$ 930;1,55;;;;;;
;;;;;;;;;;;;
FAMILIA PRODUCTOS;DESCRIPCIÓN;UNIDAD DE MEDIDA;VALOR PESOS $;PRECIO COSTO NETO  ;TIPO CAMBIO $;PORCENTAJE;PRECIO VENTA NETO ;;;;;
\PROVISIONES\ABARROTES;BROWN SUGAR - AZUCAR RUBIA;KGS;$ 2.344;2,52;$ 930;1,55;3,91;;;;;
\PROVISIONES\ABARROTES;BULGUR - BULGOR;KGS;$ 5.174;5,56;$ 930;1,55;8,62;;;;;
\PROVISIONES\ABARROTES;BUN HOT DOG BREAD 8 PC - PAN HOT DOG 8 U;PKT;$ 2.227;2,39;$ 930;1,55;3,71;;;;;
\PROVISIONES\ABARROTES;BURGER BUN X 8 - PAN DE HAMBURGUESA X 8;PKT;$ 2.227;2,39;$ 930;1,55;3,71;;;;;
\PROVISIONES\ABARROTES;BUTTER COOKIE - GALLETA MANTEQUILLA 140 GRS;GRS; $725 ;0,78;$ 930;1,55;1,21;;;;;
\PROVISIONES\ABARROTES;BUTTER COOKING UNSALTED- MANTEQUILLA COCINAR;KGS;$ 7.390;7,95;$ 930;1,55;12,32;;;;;
\PROVISIONES\ABARROTES;BUCKWEATH FLOUR, TRIGO SARRACENO;KILO;$ 6.298;6,77;$ 930;1,55;10,50;;;;;
\PROVISIONES\ABARROTES;BUTTER UNSALTED 250 GR - MANT SIN SAL;UNIT;$ 1.775;1,91;$ 930;1,55;2,96;;;;;
\PROVISIONES\ABARROTES;CALROSE RICE ;KILO;$ 1.700;1,83;$ 930;1,55;2,83;;;;;
\PROVISIONES\ABARROTES;CHOCOLATE SPREAD- CREAMA AVELLANA ECONOMICA 400GRS/TIN;BTL;$ 3.698;3,98;$ 930;1,55;6,16;;;;;
\PROVISIONES\ABARROTES;CACAO MILO  POWDER 700 GRS - MILO;TIN ;$ 7.219;7,76;$ 930;1,55;12,03;;;;;
\PROVISIONES\ABARROTES;CACAO MILO CHOCOLAT DRINK - MILO;KGS;$ 8.865;9,53;$ 930;1,55;14,78;;;;;
